"term";"definition";"retrieved_sources"
"Centro Común Europeo Integrado de Formación y Simulación";"El Centro Común Europeo Integrado de Formación y Simulación es un servicio de defensa que se enfoca en la contrainteligencia, es decir, en proteger a un país contra el espionaje de potencias extranjeras. Su objetivo principal es proporcionar información e inteligencia a quienes toman decisiones y a aquellos que las ejecutan durante el planeamiento y ejecución de las operaciones, contribuyendo a desarrollar y mantener el nivel requerido de conciencia situacional.";"[""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""https://publicaciones.defensa.gob.es/iniciativa-de-interoperabilidad-de-los-medios-conjuntos-de-inteligencia-vigilancia-y-reconocimiento.html\\""]"", ""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]""]"
"Campaña Internacional para la Prohibición de las Minas";"El mando y control en el ámbito de las operaciones multidominio enfrenta desafíos significativos debido a la complejidad de coordinar múltiples dominios (tierra, aire, mar, espacio y ciberespacio) y la necesidad de integrar diferentes sistemas y tecnologías. Esto requiere una visión integral y una capacidad de adaptación para responder a las amenazas y oportunidades en cada dominio.";"[""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""https://www.revistaensayosmilitares.cl/index.php/acague/article/view/42/34\\""]""]"
"capacidades de defensa generalizadas";"Capacidades de defensa generalizadas.";"[""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""https://publicaciones.defensa.gob.es/iniciativa-de-interoperabilidad-de-los-medios-conjuntos-de-inteligencia-vigilancia-y-reconocimiento.html\\""]""]"
"defensa antiaérea terrestre";"Defensa antiaérea terrestre.";"[""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""https://nso.nato.int/natoterm/content/nato/pages/home.html?lg=en\\""]""]"
"entorno incierto";"Entorno incierto";"[""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""https://nso.nato.int/natoterm/content/nato/pages/home.html?lg=en\\""]"", ""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]""]"
"capacidad de defensa";"Capacidad de defensa.";"[""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""https://publicaciones.defensa.gob.es/iniciativa-de-interoperabilidad-de-los-medios-conjuntos-de-inteligencia-vigilancia-y-reconocimiento.html\\""]""]"
"insumisión";"La insumisión es el acto de negarse a cumplir con las leyes o órdenes de un gobierno o autoridad. Es el opuesto a la sumisión, que implica la obediencia voluntaria a las autoridades establecidas. La insumisión puede manifestarse de diversas maneras, como la desobediencia civil, la protesta pacífica o incluso la rebelión armada. En algunos contextos, la insumisión se considera un derecho humano fundamental, como la capacidad de expresar opiniones críticas o de participar en movimientos sociales que buscan cambiar la situación política o social de un país. Sin embargo, en otros casos, la insumisión puede ser vista como un delito o una falta grave, dependiendo de la legislación y las circunstancias específicas. En resumen, la insumisión es el acto de rechazar o negarse a cumplir con";"[""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""http://www.uned.es/experto-logistica-transporte-distribucion/tablon_13_14/AVANCE_TOMO1.pdf?bcsi_scan_dd8016818d07334e=0&amp;bcsi_scan_filename=AVANCE_TOMO1.pdf\\""]""]"
"desmilitarización";"El desafío principal del mando y control en el ámbito de las operaciones multidominio radica en la necesidad de coordinar y sincronizar múltiples componentes militares y no militares, así como la integración de sistemas de información y comunicación, para garantizar una respuesta eficaz y coordinada ante amenazas y desafíos en diferentes dominios.";"[""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""https://www.revistaensayosmilitares.cl/index.php/acague/article/view/42/34\\""]""]"
"acciones cibereletromagnéticas";"Acciones que utilizan el campo electromagnético para influir en los sistemas electrónicos o mecánicos, como la interferencia electromagnética, la desincronización de señales o la manipulación de componentes electrónicos.";"[""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""https://nso.nato.int/natoterm/content/nato/pages/home.html?lg=en\\""]""]"
"Defensa contra Sistemas de Aeronaves No Tripuladas";"Defensa contra sistemas de aeronaves no tripuladas.";"[""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""https://www.revistaensayosmilitares.cl/index.php/acague/article/view/42/34\\""]""]"
"Dispositivo Modular Desplegable de Capacidad de Intervención Subacuática";"El dispositivo modular desplegable de capacidad de intervención subacuática es un sistema diseñado para realizar operaciones bajo el agua, con características de flexibilidad y adaptabilidad, que permite su despliegue y configuración según las necesidades específicas de cada misión.";"[""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""https://www.revistaensayosmilitares.cl/index.php/acague/article/view/42/34\\""]""]"
"cohete Kassam";"El cohete Kassam es un tipo de cohete de alcance corto lanzado por grupos palestinos desde la Franja de Gaza hacia Israel. El cohete Kassam es un arma improvisada que se utiliza principalmente para ataques contra poblaciones civiles. El cohete Kassam tiene un alcance de aproximadamente 8 kilómetros y puede llevar una carga explosiva de hasta 10 kilogramos. El cohete Kassam es un arma de bajo costo y fácil de producir, lo que lo hace accesible a grupos armados no estatales. El cohete Kassam ha sido utilizado en conflictos en la región del Medio Oriente, incluyendo la Intifada de Al-Aqsa y la Guerra de Gaza. El cohete Kassam es considerado un arma terrorista por muchos países, incluyendo Estados Unidos y Israel. La respuesta militar a los cohetes Kassam";"[""[\\""https://nso.nato.int/natoterm/content/nato/pages/home.html?lg=en\\""]"", ""[\\""https://nso.nato.int/natoterm/Web.mvc\\""]"", ""[\\""https://nso.nato.int/natoterm/Web.mvc\\""]""]"
"Escuela Común de Inteligencia de la UE";"La Escuela Común de Inteligencia de la UE es un servicio de defensa contra el espionaje de potencias extranjeras, cuyo objetivo es proteger la seguridad y los intereses de la Unión Europea mediante la recopilación, análisis y difusión de información de inteligencia.";"[""[\\""https://publicaciones.defensa.gob.es/iniciativa-de-interoperabilidad-de-los-medios-conjuntos-de-inteligencia-vigilancia-y-reconocimiento.html\\""]"", ""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]""]"
"galería de tiro";"La galería de tiro es un tipo de defensa antiaérea que se utiliza para proteger áreas terrestres o navales contra ataques aéreos o misiles.";"[""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""http://www.google.be/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=1&amp;cad=rja&amp;uact=8&amp;ved=0CC4QFjAA&amp;url=http%3A%2F%2Farbor.revistas.csic.es%2Findex.php%2Farbor%2Farticle%2Fdownload%2F1032%2F1039&amp;ei=lXI5U-2vN4L8ywPpiYHABQ&amp;usg=AFQjCNE-NdxHANSDejw3m9Ah_dEeu8-LCg&amp;bvm=bv.63808443,d.bGQ\\""]""]"
"identificación provisional de necesidades";"La identificación provisional de necesidades es el proceso de reconocer y describir las necesidades iniciales de una organización o individuo, sin necesariamente tener acceso a toda la información relevante o haber realizado una evaluación exhaustiva. Este proceso ayuda a establecer un marco de referencia para futuras investigaciones o análisis más detallados.";"[""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""https://publicaciones.defensa.gob.es/iniciativa-de-interoperabilidad-de-los-medios-conjuntos-de-inteligencia-vigilancia-y-reconocimiento.html\\""]"", ""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]""]"
"apoyo sanitario";"El mando y control en el ámbito de las operaciones multidominio enfrenta desafíos significativos debido a la complejidad de integrar múltiples dominios militares (terrestre, marítimo, aéreo, espacial y cibernético) y sistemas de armas. Estos desafíos incluyen la coordinación de diferentes tipos de fuerzas, la gestión de la información y la comunicación en tiempo real, y la toma de decisiones basadas en datos precisos.";"[""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""https://www.revistaensayosmilitares.cl/index.php/acague/article/view/42/34\\""]""]"
"planificación militar";"Planificación militar es el proceso sistemático de planificar y organizar las acciones militares para lograr objetivos específicos, considerando factores como la estrategia, la táctica, la logística y la seguridad. Implica analizar la situación actual, identificar amenazas y oportunidades, y desarrollar planes y estrategias para superar obstáculos y alcanzar los objetivos deseados.";"[""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""https://publicaciones.defensa.gob.es/iniciativa-de-interoperabilidad-de-los-medios-conjuntos-de-inteligencia-vigilancia-y-reconocimiento.html\\""]"", ""[\\""http://dle.rae.es/?w=contraespionaje\\""]""]"
"Sistema Europeo de Aeronaves Pilotadas a Distancia de Altitud Media y Gran Autonomía";"El Sistema Europeo de Aeronaves Pilotadas a Distancia de Altitud Media y Gran Autonomía es un sistema de defensa militar que utiliza aeronaves pilotadas remotamente para realizar misiones de alta altitud y gran autonomía, con el objetivo de detectar y atacar objetivos enemigos.";"[""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""https://www.tecnologiaeinnovacion.defensa.gob.es/es-es/Estrategia/HojasDeRuta/Paginas/Plataformas.aspx\\""]""]"
"sistema espacial multinacional de tratamiento de imágenes";"El sistema espacial multinacional de tratamiento de imágenes es un conjunto de tecnologías y plataformas compartidas entre diferentes países para analizar y procesar datos de imágenes obtenidos desde satélites, drones o sensores terrestres, con el fin de mejorar la cooperación y la coordinación en la toma de decisiones en operaciones militares y de seguridad.";"[""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""https://www.revistaensayosmilitares.cl/index.php/acague/article/view/42/34\\""]""]"
"contraespionaje";"El contraespionaje es el servicio de defensa de un país contra el espionaje de potencias extranjeras. Es el equivalente a la contrainteligencia y se opone al espionaje. El contraespionaje se enfoca en detectar, desmantelar y prevenir actividades de espionaje que puedan comprometer la seguridad nacional.";"[""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""https://www.revistaensayosmilitares.cl/index.php/acague/article/view/42/34\\""]""]"
