"term";"definition";"retrieved_sources"
"Centro Común Europeo Integrado de Formación y Simulación";"Centro Común Europeo Integrado de Formación y Simulación";"[""https://pesco.europa.eu/project/integrated-european-joint-training-and-simulation-centre-eurosim/""]"
"Campaña Internacional para la Prohibición de las Minas";"Campaña Internacional para la Prohibición de las Minas";"[""http://www.icbl.org/es/""]"
"capacidades de defensa generalizadas";"El informe se guÃ­a por el temor a perder preponderancia econÃ³mica y geoestratÃ©gica. Por una parte, en el informe se aboga por la cooperaciÃ³n y el multilateralismo y se aduce que las desigualdades econÃ³micas son una causa de inestabilidad y conflictos, pero por otra parte se pide a los Estados miembros y las instituciones de la UniÃ³n que utilicen todos los instrumentos, incluidos los militares, para reforzar su influencia geopolÃ­tica y proteger sus intereses, principalmente econÃ³micos. Nos oponemos al informe en la medida en que: â¢Â Â habla de soluciones pacÃ­ficas diplomÃ¡ticas a";"[""https://www.europarl.europa.eu/doceo/document/A-8-2018-0392_ES.html""]"
"defensa antiaérea terrestre";"volquete a mano para hormigón Entidades colaboradoras

DEFINICIÓN:";"[""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea""]"
"entorno incierto";"The term ‘uncertain environment’ is used to describe the situation where the future is uncertain. This can be due to a number of factors, such as economic conditions, political instability, or natural disasters. In an uncertain environment, it is difficult to predict what will happen in the future, which makes it difficult to make decisions about the present.";"[""https://nso.nato.int/natoterm/Web.mvc""]"
"capacidad de defensa";"IATE (Interactive Terminology for Europe) is a multilingual terminology database of the institutions and organisations of the EU. It is used for collecting, disseminating and jointly managing EU-specific terminology, playing an important role in ensuring the quality of written communication. Its target audience is both internal and external users. The majority of users are translators and other language specialists. IATE contains multilingual terminology in a wide range of areas (law, environment, human rights, social issues, medicine, transport, agriculture, chemistry, intellectual property, data processing, etc.). terminology, translation, terminology database, terminology bank, terminology database, European Union IATE ( I nter a ctive T erminology for E urope) is the EU terminology management system. The institutions and organisations of the EU use IATE from 2004 to collect, disseminate and jointly manage terminology.";"[""https://iate.europa.eu/entry/result/923523/es""]"
"insumisión";"La insumisión es la negativa de cumplir con un deber legal o moral. En el ámbito del derecho penal, se refiere a la negativa de cumplir con el deber de prestar el servicio militar obligatorio o la prestación social sustitutoria.";"[""http://elpais.com/diario/2002/02/02/espana/1012604412_850215.html""]"
"desmilitarización";"Desmilitarización";"[""http://www.oxforddictionaries.com/es/definicion/espanol/desmilitarización""]"
"acciones cibereletromagnéticas";"Acciones cibereletromagnéticas:";"[""https://www.revistaensayosmilitares.cl/index.php/acague/article/view/42/34""]"
"Defensa contra Sistemas de Aeronaves No Tripuladas";"La defensa contra sistemas de aeronaves no tripuladas es la capacidad de detectar, identificar, localizar y neutralizar sistemas de aeronaves no tripuladas (UAV) que representan una amenaza para las fuerzas armadas o los objetivos civiles.";"[""https://pesco.europa.eu/project/counter-unmanned-aerial-system-c-uas/""]"
"Dispositivo Modular Desplegable de Capacidad de Intervención Subacuática";"Un dispositivo modular desplegable de capacidad de intervención subacuática es un sistema de apoyo militar que se utiliza para realizar operaciones militares bajo el agua. Este dispositivo está diseñado para ser desplegado rápidamente y proporcionar una respuesta rápida a situaciones de emergencia o incidentes subacuáticos.";"[""https://pesco.europa.eu/project/deployable-modular-underwater-intervention-capability-package-divepack/""]"
"cohete Kassam";"El cohete Kassam es un arma de artillería de cohetes de combustible sólido, de origen palestino, que se utiliza para atacar objetivos militares y civiles en Israel. Es un arma de corto alcance, con un alcance máximo de 12 kilómetros, y se caracteriza por su precisión limitada y su capacidad de causar daños a las instalaciones y personas.";"[""http://es.wikipedia.org/wiki/Qassam""]"
"Escuela Común de Inteligencia de la UE";"Escuela Común de Inteligencia de la UE";"[""https://pesco.europa.eu/project/joint-eu-intelligence-school/""]"
"galería de tiro";"1. Armamento: conjunto de armas, municiones y accesorios que se utilizan en las operaciones militares.";"[""https://www.boe.es/eli/es/rd/1993/01/29/137/con""]"
"identificación provisional de necesidades";"La identificación provisional de necesidades es un proceso que se lleva a cabo durante la primera visita de un niño a un centro de salud infantil. En este proceso, los profesionales de la salud infantil evalúan las necesidades médicas, nutricionales y psicosociales del niño. La identificación provisional de necesidades es importante porque permite a los profesionales de la salud infantil identificar y abordar las necesidades del niño de manera eficiente y efectiva.";"[""http://www.google.be/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=1&amp;cad=rja&amp;uact=8&amp;ved=0CC4QFjAA&amp;url=http%3A%2F%2Farbor.revistas.csic.es%2Findex.php%2Farbor%2Farticle%2Fdownload%2F1032%2F1039&amp;ei=lXI5U-2vN4L8ywPpiYHABQ&amp;usg=AFQjCNE-NdxHANSDejw3m9Ah_dEeu8-LCg&amp;bvm=bv.63808443,d.bGQ""]"
"apoyo sanitario";"";"[""https://nso.nato.int/natoterm/Web.mvc""]"
"planificación militar";"PLANIFICACIÓN MILITAR";"[""https://nso.nato.int/natoterm/content/nato/pages/home.html?lg=en""]"
"Sistema Europeo de Aeronaves Pilotadas a Distancia de Altitud Media y Gran Autonomía";"Sistema europeo de aeronaves pilotadas a distancia de altitud media y gran autonomía.";"[""https://pesco.europa.eu/project/european-medium-altitude-long-endurance-remotely-piloted-aircraft-systems-male-rpas-eurodrone/""]"
"sistema espacial multinacional de tratamiento de imágenes";"";"[""http://www.eda.europa.eu/news/09-03-05/New_EDA_Project_on_Space-Based_Earth_Surveillance_System""]"
"contraespionaje";"";"[""http://dle.rae.es/?w=contraespionaje""]"
